condition,name1,name2,prompt,choiceNameFirst,choice1,choice2
asymmetric,Rebosen,Themaglin,Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
symmetric,Rebosen,Themaglin,Rebosen and Themaglin are associated.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
symmetric,Rebosen,Themaglin,Rebosen and Themaglin are associated.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
asymmetric,Rebosen,Denoden,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
asymmetric,Rebosen,Denoden,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
symmetric,Rebosen,Denoden,Rebosen and Denoden are associated.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
symmetric,Rebosen,Denoden,Rebosen and Denoden are associated.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
asymmetric,Rebosen,Flembers,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
asymmetric,Rebosen,Flembers,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
symmetric,Rebosen,Flembers,Rebosen and Flembers are associated.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
symmetric,Rebosen,Flembers,Rebosen and Flembers are associated.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
asymmetric,Rebosen,Agoriv,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
asymmetric,Rebosen,Agoriv,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
symmetric,Rebosen,Agoriv,Rebosen and Agoriv are associated.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
symmetric,Rebosen,Agoriv,Rebosen and Agoriv are associated.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
asymmetric,Rebosen,Ceflar,Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
asymmetric,Rebosen,Ceflar,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
symmetric,Rebosen,Ceflar,Rebosen and Ceflar are associated.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
symmetric,Rebosen,Ceflar,Rebosen and Ceflar are associated.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
asymmetric,Denoden,Themaglin,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
asymmetric,Denoden,Themaglin,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
symmetric,Denoden,Themaglin,Denoden and Themaglin are associated.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
symmetric,Denoden,Themaglin,Denoden and Themaglin are associated.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
asymmetric,Denoden,Rebosen,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
asymmetric,Denoden,Rebosen,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
symmetric,Denoden,Rebosen,Denoden and Rebosen are associated.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
symmetric,Denoden,Rebosen,Denoden and Rebosen are associated.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
asymmetric,Denoden,Flembers,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
asymmetric,Denoden,Flembers,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
symmetric,Denoden,Flembers,Denoden and Flembers are associated.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
symmetric,Denoden,Flembers,Denoden and Flembers are associated.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
asymmetric,Denoden,Agoriv,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
asymmetric,Denoden,Agoriv,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
symmetric,Denoden,Agoriv,Denoden and Agoriv are associated.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
symmetric,Denoden,Agoriv,Denoden and Agoriv are associated.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
asymmetric,Denoden,Ceflar,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
asymmetric,Denoden,Ceflar,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
symmetric,Denoden,Ceflar,Denoden and Ceflar are associated.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
symmetric,Denoden,Ceflar,Denoden and Ceflar are associated.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
asymmetric,Flembers,Themaglin,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
asymmetric,Flembers,Themaglin,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
symmetric,Flembers,Themaglin,Flembers and Themaglin are associated.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
symmetric,Flembers,Themaglin,Flembers and Themaglin are associated.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
asymmetric,Flembers,Rebosen,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
asymmetric,Flembers,Rebosen,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
symmetric,Flembers,Rebosen,Flembers and Rebosen are associated.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
symmetric,Flembers,Rebosen,Flembers and Rebosen are associated.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
asymmetric,Flembers,Denoden,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
asymmetric,Flembers,Denoden,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
symmetric,Flembers,Denoden,Flembers and Denoden are associated.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
symmetric,Flembers,Denoden,Flembers and Denoden are associated.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
asymmetric,Flembers,Agoriv,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
asymmetric,Flembers,Agoriv,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
symmetric,Flembers,Agoriv,Flembers and Agoriv are associated.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
symmetric,Flembers,Agoriv,Flembers and Agoriv are associated.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
asymmetric,Flembers,Ceflar,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
asymmetric,Flembers,Ceflar,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
symmetric,Flembers,Ceflar,Flembers and Ceflar are associated.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
symmetric,Flembers,Ceflar,Flembers and Ceflar are associated.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
asymmetric,Agoriv,Themaglin,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
asymmetric,Agoriv,Themaglin,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
symmetric,Agoriv,Themaglin,Agoriv and Themaglin are associated.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
symmetric,Agoriv,Themaglin,Agoriv and Themaglin are associated.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
asymmetric,Agoriv,Rebosen,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
asymmetric,Agoriv,Rebosen,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
symmetric,Agoriv,Rebosen,Agoriv and Rebosen are associated.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
symmetric,Agoriv,Rebosen,Agoriv and Rebosen are associated.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
asymmetric,Agoriv,Denoden,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
asymmetric,Agoriv,Denoden,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
symmetric,Agoriv,Denoden,Agoriv and Denoden are associated.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
symmetric,Agoriv,Denoden,Agoriv and Denoden are associated.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
asymmetric,Agoriv,Flembers,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
asymmetric,Agoriv,Flembers,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
symmetric,Agoriv,Flembers,Agoriv and Flembers are associated.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
symmetric,Agoriv,Flembers,Agoriv and Flembers are associated.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
asymmetric,Agoriv,Ceflar,Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
asymmetric,Agoriv,Ceflar,Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
symmetric,Agoriv,Ceflar,Agoriv and Ceflar are associated.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
symmetric,Agoriv,Ceflar,Agoriv and Ceflar are associated.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
asymmetric,Ceflar,Themaglin,Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
asymmetric,Ceflar,Themaglin,Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
symmetric,Ceflar,Themaglin,Ceflar and Themaglin are associated.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
symmetric,Ceflar,Themaglin,Ceflar and Themaglin are associated.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
asymmetric,Ceflar,Rebosen,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
asymmetric,Ceflar,Rebosen,Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
symmetric,Ceflar,Rebosen,Ceflar and Rebosen are associated.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
symmetric,Ceflar,Rebosen,Ceflar and Rebosen are associated.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
asymmetric,Ceflar,Denoden,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
asymmetric,Ceflar,Denoden,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
symmetric,Ceflar,Denoden,Ceflar and Denoden are associated.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
symmetric,Ceflar,Denoden,Ceflar and Denoden are associated.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
asymmetric,Ceflar,Flembers,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
asymmetric,Ceflar,Flembers,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
symmetric,Ceflar,Flembers,Ceflar and Flembers are associated.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
symmetric,Ceflar,Flembers,Ceflar and Flembers are associated.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
asymmetric,Ceflar,Agoriv,Ceflar is associated with Agoriv.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
asymmetric,Ceflar,Agoriv,Ceflar is associated with Agoriv.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
symmetric,Ceflar,Agoriv,Ceflar and Agoriv are associated.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
symmetric,Ceflar,Agoriv,Ceflar and Agoriv are associated.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
