topic,statementFirst,name1,name2,QUD,statement,choiceNameFirst,choice1,choice2
first,first,Rebosen,Ceflar,Can you tell me something about Rebosen?,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,first,Rebosen,Ceflar,Can you tell me something about Ceflar?,Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,second,Rebosen,Ceflar,Can you tell me something about Rebosen?,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,second,Rebosen,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,first,Denoden,Themaglin,Can you tell me something about Denoden?,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,first,Denoden,Themaglin,Can you tell me something about Themaglin?,Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,second,Denoden,Themaglin,Can you tell me something about Denoden?,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,second,Denoden,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Denoden.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,first,Denoden,Themaglin,Can you tell me something about Denoden?,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,first,Denoden,Themaglin,Can you tell me something about Themaglin?,Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,second,Denoden,Themaglin,Can you tell me something about Denoden?,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,second,Denoden,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Denoden.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,first,Denoden,Rebosen,Can you tell me something about Denoden?,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,first,Denoden,Rebosen,Can you tell me something about Rebosen?,Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,second,Denoden,Rebosen,Can you tell me something about Denoden?,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,second,Denoden,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,first,Denoden,Rebosen,Can you tell me something about Denoden?,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,first,Denoden,Rebosen,Can you tell me something about Rebosen?,Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,second,Denoden,Rebosen,Can you tell me something about Denoden?,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,second,Denoden,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,first,Denoden,Flembers,Can you tell me something about Denoden?,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,first,Denoden,Flembers,Can you tell me something about Flembers?,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,second,Denoden,Flembers,Can you tell me something about Denoden?,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,second,Denoden,Flembers,Can you tell me something about Flembers?,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,first,Denoden,Flembers,Can you tell me something about Denoden?,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,first,Denoden,Flembers,Can you tell me something about Flembers?,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,second,Denoden,Flembers,Can you tell me something about Denoden?,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,second,Denoden,Flembers,Can you tell me something about Flembers?,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,first,Denoden,Agoriv,Can you tell me something about Denoden?,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,first,Denoden,Agoriv,Can you tell me something about Agoriv?,Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,second,Denoden,Agoriv,Can you tell me something about Denoden?,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,second,Denoden,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,first,Denoden,Agoriv,Can you tell me something about Denoden?,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,first,Denoden,Agoriv,Can you tell me something about Agoriv?,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,second,Denoden,Agoriv,Can you tell me something about Denoden?,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,second,Denoden,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,first,Denoden,Ceflar,Can you tell me something about Denoden?,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,first,Denoden,Ceflar,Can you tell me something about Ceflar?,Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,second,Denoden,Ceflar,Can you tell me something about Denoden?,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,second,Denoden,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Denoden.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,first,Denoden,Ceflar,Can you tell me something about Denoden?,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,first,Denoden,Ceflar,Can you tell me something about Ceflar?,Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,second,Denoden,Ceflar,Can you tell me something about Denoden?,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,second,Denoden,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Denoden.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,first,Flembers,Themaglin,Can you tell me something about Flembers?,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,first,Flembers,Themaglin,Can you tell me something about Themaglin?,Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,second,Flembers,Themaglin,Can you tell me something about Flembers?,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,second,Flembers,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Flembers.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,first,Flembers,Themaglin,Can you tell me something about Flembers?,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,first,Flembers,Themaglin,Can you tell me something about Themaglin?,Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,second,Flembers,Themaglin,Can you tell me something about Flembers?,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,second,Flembers,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Flembers.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,first,Flembers,Rebosen,Can you tell me something about Flembers?,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,first,Flembers,Rebosen,Can you tell me something about Rebosen?,Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,second,Flembers,Rebosen,Can you tell me something about Flembers?,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,second,Flembers,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,first,Flembers,Rebosen,Can you tell me something about Flembers?,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,first,Flembers,Rebosen,Can you tell me something about Rebosen?,Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,second,Flembers,Rebosen,Can you tell me something about Flembers?,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,second,Flembers,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,first,Flembers,Denoden,Can you tell me something about Flembers?,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,first,Flembers,Denoden,Can you tell me something about Denoden?,Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,second,Flembers,Denoden,Can you tell me something about Flembers?,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,second,Flembers,Denoden,Can you tell me something about Denoden?,Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,first,Flembers,Denoden,Can you tell me something about Flembers?,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,first,Flembers,Denoden,Can you tell me something about Denoden?,Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,second,Flembers,Denoden,Can you tell me something about Flembers?,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,second,Flembers,Denoden,Can you tell me something about Denoden?,Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,first,Flembers,Agoriv,Can you tell me something about Flembers?,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,first,Flembers,Agoriv,Can you tell me something about Agoriv?,Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,second,Flembers,Agoriv,Can you tell me something about Flembers?,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,second,Flembers,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,first,Flembers,Agoriv,Can you tell me something about Flembers?,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,first,Flembers,Agoriv,Can you tell me something about Agoriv?,Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,second,Flembers,Agoriv,Can you tell me something about Flembers?,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,second,Flembers,Agoriv,Can you tell me something about Agoriv?,Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,first,Flembers,Ceflar,Can you tell me something about Flembers?,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,first,Flembers,Ceflar,Can you tell me something about Ceflar?,Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,second,Flembers,Ceflar,Can you tell me something about Flembers?,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,second,Flembers,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Flembers.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,first,Flembers,Ceflar,Can you tell me something about Flembers?,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,first,Flembers,Ceflar,Can you tell me something about Ceflar?,Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,second,Flembers,Ceflar,Can you tell me something about Flembers?,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,second,Flembers,Ceflar,Can you tell me something about Ceflar?,Ceflar is associated with Flembers.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,first,Agoriv,Themaglin,Can you tell me something about Agoriv?,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,first,Agoriv,Themaglin,Can you tell me something about Themaglin?,Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,second,Agoriv,Themaglin,Can you tell me something about Agoriv?,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,second,Agoriv,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Agoriv.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,first,Agoriv,Themaglin,Can you tell me something about Agoriv?,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,first,Agoriv,Themaglin,Can you tell me something about Themaglin?,Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,second,Agoriv,Themaglin,Can you tell me something about Agoriv?,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,second,Agoriv,Themaglin,Can you tell me something about Themaglin?,Themaglin is associated with Agoriv.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,first,Agoriv,Rebosen,Can you tell me something about Agoriv?,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,first,Agoriv,Rebosen,Can you tell me something about Rebosen?,Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,second,Agoriv,Rebosen,Can you tell me something about Agoriv?,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,second,Agoriv,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,first,Agoriv,Rebosen,Can you tell me something about Agoriv?,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,first,Agoriv,Rebosen,Can you tell me something about Rebosen?,Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,second,Agoriv,Rebosen,Can you tell me something about Agoriv?,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,second,Agoriv,Rebosen,Can you tell me something about Rebosen?,Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,first,Agoriv,Denoden,Can you tell me something about Agoriv?,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,first,Agoriv,Denoden,Can you tell me something about Denoden?,Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,second,Agoriv,Denoden,Can you tell me something about Agoriv?,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,second,Agoriv,Denoden,Can you tell me something about Denoden?,Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
