targeted,itemType,name1,name2,prompt,choiceNameFirst,choice1,choice2
second,getting,Themaglin,Ceflar,Themaglin is associated with having Ceflar.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,having,Rebosen,Themaglin,Having Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,getting,Rebosen,Themaglin,Getting Rebosen is associated with Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
first,having,Rebosen,Themaglin,Having Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,getting,Rebosen,Themaglin,Getting Rebosen is associated with Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,having,Rebosen,Themaglin,Rebosen is associated with getting Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,getting,Rebosen,Themaglin,Rebosen is associated with having Themaglin.,Rebosen,Rebosen causes Themaglin.,Themaglin causes Rebosen.
second,having,Rebosen,Themaglin,Rebosen is associated with getting Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
second,getting,Rebosen,Themaglin,Rebosen is associated with having Themaglin.,Themaglin,Themaglin causes Rebosen.,Rebosen causes Themaglin.
first,having,Rebosen,Denoden,Having Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,getting,Rebosen,Denoden,Getting Rebosen is associated with Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,having,Rebosen,Denoden,Having Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,getting,Rebosen,Denoden,Getting Rebosen is associated with Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,having,Rebosen,Denoden,Rebosen is associated with getting Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,getting,Rebosen,Denoden,Rebosen is associated with having Denoden.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,having,Rebosen,Denoden,Rebosen is associated with getting Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,getting,Rebosen,Denoden,Rebosen is associated with having Denoden.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,having,Rebosen,Flembers,Having Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,getting,Rebosen,Flembers,Getting Rebosen is associated with Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,having,Rebosen,Flembers,Having Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,getting,Rebosen,Flembers,Getting Rebosen is associated with Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,having,Rebosen,Flembers,Rebosen is associated with getting Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,getting,Rebosen,Flembers,Rebosen is associated with having Flembers.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,having,Rebosen,Flembers,Rebosen is associated with getting Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,getting,Rebosen,Flembers,Rebosen is associated with having Flembers.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,having,Rebosen,Agoriv,Having Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,getting,Rebosen,Agoriv,Getting Rebosen is associated with Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,having,Rebosen,Agoriv,Having Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,getting,Rebosen,Agoriv,Getting Rebosen is associated with Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,having,Rebosen,Agoriv,Rebosen is associated with getting Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,getting,Rebosen,Agoriv,Rebosen is associated with having Agoriv.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,having,Rebosen,Agoriv,Rebosen is associated with getting Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,getting,Rebosen,Agoriv,Rebosen is associated with having Agoriv.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,having,Rebosen,Ceflar,Having Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,getting,Rebosen,Ceflar,Getting Rebosen is associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,having,Rebosen,Ceflar,Having Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,getting,Rebosen,Ceflar,Getting Rebosen is associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,having,Rebosen,Ceflar,Rebosen is associated with getting Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,getting,Rebosen,Ceflar,Rebosen is associated with having Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,having,Rebosen,Ceflar,Rebosen is associated with getting Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,getting,Rebosen,Ceflar,Rebosen is associated with having Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,having,Denoden,Themaglin,Having Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,getting,Denoden,Themaglin,Getting Denoden is associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,having,Denoden,Themaglin,Having Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,getting,Denoden,Themaglin,Getting Denoden is associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,having,Denoden,Themaglin,Denoden is associated with getting Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,getting,Denoden,Themaglin,Denoden is associated with having Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,having,Denoden,Themaglin,Denoden is associated with getting Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,getting,Denoden,Themaglin,Denoden is associated with having Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,having,Denoden,Rebosen,Having Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,getting,Denoden,Rebosen,Getting Denoden is associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,having,Denoden,Rebosen,Having Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,getting,Denoden,Rebosen,Getting Denoden is associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,having,Denoden,Rebosen,Denoden is associated with getting Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,getting,Denoden,Rebosen,Denoden is associated with having Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,having,Denoden,Rebosen,Denoden is associated with getting Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,getting,Denoden,Rebosen,Denoden is associated with having Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,having,Denoden,Flembers,Having Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,getting,Denoden,Flembers,Getting Denoden is associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,having,Denoden,Flembers,Having Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,getting,Denoden,Flembers,Getting Denoden is associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,having,Denoden,Flembers,Denoden is associated with getting Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,getting,Denoden,Flembers,Denoden is associated with having Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,having,Denoden,Flembers,Denoden is associated with getting Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,getting,Denoden,Flembers,Denoden is associated with having Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,having,Denoden,Agoriv,Having Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,getting,Denoden,Agoriv,Getting Denoden is associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,having,Denoden,Agoriv,Having Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,getting,Denoden,Agoriv,Getting Denoden is associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,having,Denoden,Agoriv,Denoden is associated with getting Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,getting,Denoden,Agoriv,Denoden is associated with having Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,having,Denoden,Agoriv,Denoden is associated with getting Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,getting,Denoden,Agoriv,Denoden is associated with having Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,having,Denoden,Ceflar,Having Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,getting,Denoden,Ceflar,Getting Denoden is associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,having,Denoden,Ceflar,Having Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,getting,Denoden,Ceflar,Getting Denoden is associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,having,Denoden,Ceflar,Denoden is associated with getting Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,getting,Denoden,Ceflar,Denoden is associated with having Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,having,Denoden,Ceflar,Denoden is associated with getting Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,getting,Denoden,Ceflar,Denoden is associated with having Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,having,Flembers,Themaglin,Having Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,getting,Flembers,Themaglin,Getting Flembers is associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,having,Flembers,Themaglin,Having Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,getting,Flembers,Themaglin,Getting Flembers is associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,having,Flembers,Themaglin,Flembers is associated with getting Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,getting,Flembers,Themaglin,Flembers is associated with having Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,having,Flembers,Themaglin,Flembers is associated with getting Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,getting,Flembers,Themaglin,Flembers is associated with having Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,having,Flembers,Rebosen,Having Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,getting,Flembers,Rebosen,Getting Flembers is associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,having,Flembers,Rebosen,Having Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,getting,Flembers,Rebosen,Getting Flembers is associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,having,Flembers,Rebosen,Flembers is associated with getting Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,getting,Flembers,Rebosen,Flembers is associated with having Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,having,Flembers,Rebosen,Flembers is associated with getting Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,getting,Flembers,Rebosen,Flembers is associated with having Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,having,Flembers,Denoden,Having Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,getting,Flembers,Denoden,Getting Flembers is associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,having,Flembers,Denoden,Having Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,getting,Flembers,Denoden,Getting Flembers is associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,having,Flembers,Denoden,Flembers is associated with getting Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,getting,Flembers,Denoden,Flembers is associated with having Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,having,Flembers,Denoden,Flembers is associated with getting Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,getting,Flembers,Denoden,Flembers is associated with having Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,having,Flembers,Agoriv,Having Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,getting,Flembers,Agoriv,Getting Flembers is associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,having,Flembers,Agoriv,Having Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,getting,Flembers,Agoriv,Getting Flembers is associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,having,Flembers,Agoriv,Flembers is associated with getting Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,getting,Flembers,Agoriv,Flembers is associated with having Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,having,Flembers,Agoriv,Flembers is associated with getting Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,getting,Flembers,Agoriv,Flembers is associated with having Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,having,Flembers,Ceflar,Having Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,getting,Flembers,Ceflar,Getting Flembers is associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,having,Flembers,Ceflar,Having Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,getting,Flembers,Ceflar,Getting Flembers is associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,having,Flembers,Ceflar,Flembers is associated with getting Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,getting,Flembers,Ceflar,Flembers is associated with having Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,having,Flembers,Ceflar,Flembers is associated with getting Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,getting,Flembers,Ceflar,Flembers is associated with having Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,having,Agoriv,Themaglin,Having Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,getting,Agoriv,Themaglin,Getting Agoriv is associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,having,Agoriv,Themaglin,Having Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,getting,Agoriv,Themaglin,Getting Agoriv is associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,having,Agoriv,Themaglin,Agoriv is associated with getting Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,getting,Agoriv,Themaglin,Agoriv is associated with having Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,having,Agoriv,Themaglin,Agoriv is associated with getting Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,getting,Agoriv,Themaglin,Agoriv is associated with having Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,having,Agoriv,Rebosen,Having Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,getting,Agoriv,Rebosen,Getting Agoriv is associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,having,Agoriv,Rebosen,Having Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,getting,Agoriv,Rebosen,Getting Agoriv is associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,having,Agoriv,Rebosen,Agoriv is associated with getting Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,getting,Agoriv,Rebosen,Agoriv is associated with having Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,having,Agoriv,Rebosen,Agoriv is associated with getting Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,getting,Agoriv,Rebosen,Agoriv is associated with having Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,having,Agoriv,Denoden,Having Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,getting,Agoriv,Denoden,Getting Agoriv is associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,having,Agoriv,Denoden,Having Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,getting,Agoriv,Denoden,Getting Agoriv is associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,having,Agoriv,Denoden,Agoriv is associated with getting Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,getting,Agoriv,Denoden,Agoriv is associated with having Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,having,Agoriv,Denoden,Agoriv is associated with getting Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,getting,Agoriv,Denoden,Agoriv is associated with having Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,having,Agoriv,Flembers,Having Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,getting,Agoriv,Flembers,Getting Agoriv is associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,having,Agoriv,Flembers,Having Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,getting,Agoriv,Flembers,Getting Agoriv is associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,having,Agoriv,Flembers,Agoriv is associated with getting Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,getting,Agoriv,Flembers,Agoriv is associated with having Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,having,Agoriv,Flembers,Agoriv is associated with getting Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,getting,Agoriv,Flembers,Agoriv is associated with having Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,having,Agoriv,Ceflar,Having Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,getting,Agoriv,Ceflar,Getting Agoriv is associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,having,Agoriv,Ceflar,Having Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,getting,Agoriv,Ceflar,Getting Agoriv is associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,having,Agoriv,Ceflar,Agoriv is associated with getting Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,getting,Agoriv,Ceflar,Agoriv is associated with having Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
second,having,Agoriv,Ceflar,Agoriv is associated with getting Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,getting,Agoriv,Ceflar,Agoriv is associated with having Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,having,Ceflar,Themaglin,Having Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,getting,Ceflar,Themaglin,Getting Ceflar is associated with Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
first,having,Ceflar,Themaglin,Having Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,getting,Ceflar,Themaglin,Getting Ceflar is associated with Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,having,Ceflar,Themaglin,Ceflar is associated with getting Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,getting,Ceflar,Themaglin,Ceflar is associated with having Themaglin.,Ceflar,Ceflar causes Themaglin.,Themaglin causes Ceflar.
second,having,Ceflar,Themaglin,Ceflar is associated with getting Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
second,getting,Ceflar,Themaglin,Ceflar is associated with having Themaglin.,Themaglin,Themaglin causes Ceflar.,Ceflar causes Themaglin.
first,having,Ceflar,Rebosen,Having Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,getting,Ceflar,Rebosen,Getting Ceflar is associated with Rebosen.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,having,Ceflar,Rebosen,Having Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,getting,Ceflar,Rebosen,Getting Ceflar is associated with Rebosen.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
